topic,section,source,text
Returns,Eligibility,help.amazon.com/returns,"Most items purchased on Amazon can be returned within 30 days of receipt. Products must be in their original condition and include all packaging, manuals, and accessories. Some items like perishables or personal care products may have different requirements."
Returns,Timeline,help.amazon.com/returns,"The standard return window is 30 days from the date of delivery for most items. During the holiday season, items shipped between November 1 and December 31 may be returned until January 31 of the following year. Always check the specific product page for any exceptions to this general rule."
Returns,Process,help.amazon.com/returns,"To start a return, visit the 'Your Orders' page and select the 'Return or Replace Items' button. Choose the reason for your return and select your preferred return method from the available options. Once submitted, you will receive a return authorization and instructions on how to send the item back."
Returns,Exceptions,help.amazon.com/returns,"Certain items are not eligible for return including hazardous materials, flammable liquids, or gases. Computer laptops, desktops, and Kindles cannot be returned more than 30 days after delivery. Items that are missing the UPC or serial number will also be rejected by the returns department."
Returns,Return Labels,help.amazon.com/returns,"Amazon provides various return label options including pre-paid labels for dropped off returns at designated locations. If the return is due to an Amazon error, the return shipping is free of charge. For other returns, the cost of return shipping may be deducted from your total refund amount."
Returns,Seller Returns,help.amazon.com/returns,"Returns for items purchased from third-party sellers must be sent directly to the seller. Sellers are required to provide a return address within the United States or a pre-paid return label. If a seller fails to respond within 48 hours, you may be eligible for a refund under the A-to-z Guarantee."
Returns,Holiday Season,help.amazon.com/returns,"During the annual holiday period, our return policy is significantly extended for customer convenience. Items shipped between October 1 and December 31 can be returned until January 31 of the following year. This allows gift recipients ample time to evaluate their presents and initiate a return if necessary."
Returns,Heavy Items,help.amazon.com/returns,"Large or heavy items like furniture and treadmills require a scheduled pickup for returns. Amazon will coordinate with a specialized carrier to arrive at your home within a 4-hour window to retrieve the item. Please ensure the product is disassembled and packed in its original box or a suitable alternative before the carrier arrives."
Returns,Restocking Fees,help.amazon.com/returns,"A restocking fee of 15% to 50% may be applied if an item is returned damaged, used, or missing parts. This fee helps cover the costs of inspecting and processing items that can no longer be sold as new. You will be notified of any applicable fees before your refund is finalized in the returns center."
Returns,Gift Returns,help.amazon.com/returns,"If you received an item as a gift, you can return it using the 17-digit order number found on the packing slip. The refund will be issued as an Amazon Gift Card to your account, so the original sender will not be notified of the return. If you do not have the order number, contact customer service with the sender's name and email address for assistance."
Refunds,Timeline,help.amazon.com/refunds,"Most refunds are fully processed within 3-5 business days after we receive and process your return. Once the refund is issued, it may take an additional 2-10 business days for the credit to appear on your bank statement. You can track the status of your refund in 'Your Orders' under the 'View Return/Refund Status' section."
Refunds,Methods,help.amazon.com/refunds,"Refunds are typically issued to the original payment method used at the time of purchase. If the original credit card is expired or cancelled, the refund will still be sent to the issuing bank for processing. You may also choose to receive your refund as an Amazon Gift Card balance for faster access."
Refunds,Partial Refunds,help.amazon.com/refunds,"A partial refund may be issued if an item is returned in a condition other than original or is missing parts. Restocking fees of up to 20% may be applied to items that are not returned in their original packaging. If you received a damaged item and choose to keep it, a partial credit may be offered as a courtesy."
Refunds,Instant Refunds,help.amazon.com/refunds,"Instant refunds allow you to receive your refund immediately to your Amazon Gift Card balance or original credit card. This option is available for select items and requires you to return the product within 30 days. If the item is not received by the deadline, your original payment method will be charged again."
Refunds,Gift Card Refunds,help.amazon.com/refunds,"When you return an item purchased with an Amazon Gift Card, the refund is added back to your Gift Card balance. This balance is typically available within 2-3 hours of the return being processed. Gift card refunds cannot be transferred to a credit card or bank account under any circumstances."
Refunds,Denied Refunds,help.amazon.com/refunds,"Amazon reserves the right to deny a refund if the returned item does not match the description or is missing critical components. If a return is denied, the item may be sent back to you at your expense. Frequent returns or patterns of abuse may lead to account restrictions or permanent closure of the refund privilege."
Refunds,Processing Fees,help.amazon.com/refunds,"Amazon does not charge processing fees for standard refunds issued to your original payment method. However, some international banks may charge a currency conversion fee when the refund is credited to your account. Please consult your financial institution to understand any fees they may apply to incoming international credits."
Refunds,Return Shipping,help.amazon.com/refunds,"If a return is necessary because of an error on our part, we will refund the original shipping charges in full. For most other returns, we will deduct the cost of return shipping from your refund total. You will see the estimated deduction amount when you select your return method in the online returns center."
Shipping,Methods,help.amazon.com/shipping,"Customers can choose from several shipping methods including Standard, Two-Day, and One-Day Delivery. Prime members enjoy free Two-Day shipping on millions of eligible items without a minimum purchase requirement. Shipping speeds are calculated from the time the item leaves our fulfillment center rather than when the order is placed."
Shipping,Tracking,help.amazon.com/shipping,"You can track your package by visiting 'Your Orders' and clicking 'Track Package' next to the specific shipment. Tracking information is updated in real-time as the package moves through the carrier's network. Some shipments may not have detailed tracking if they are sent via certain international postal services."
Shipping,International,help.amazon.com/shipping,"Amazon Global ships to over 100 countries and regions outside the United States. International orders are subject to import duties and taxes, which are calculated and collected as an 'Import Fees Deposit' at checkout. Delivery times for international shipping typically range from 5 to 15 business days depending on the destination."
Shipping,Carrier Issues,help.amazon.com/shipping,"If your package is marked as delivered but you cannot find it, please wait 48 hours before contacting support. Occasionally, carriers may mark a package as delivered when it is still in transit or has been left with a neighbor. If the package is still missing after 2 days, we will initiate a claim with the carrier."
Shipping,Delivery Instructions,help.amazon.com/shipping,"You can provide specific delivery instructions such as a gate code or a preferred drop-off location like a back porch. These instructions can be updated in your address book or during the checkout process for individual orders. While our drivers strive to follow these requests, they may be limited by local safety regulations or accessibility issues."
Shipping,Free Shipping,help.amazon.com/shipping,"Orders of $35 or more of eligible items qualify for free Standard shipping for non-Prime members. Eligible items are marked with 'FREE Shipping' on the product detail page and at checkout. If your order total drops below $35 due to cancellations or returns, shipping charges may be reapplied to the remaining items."
Shipping,Amazon Locker,help.amazon.com/shipping,"Amazon Lockers provide a secure and convenient way to receive your packages at various public locations. You will receive a unique pickup code via email once your package has been delivered to the selected locker. You have 3 business days to collect your package before it is returned to Amazon for a full refund."
Shipping,Shipping Weights,help.amazon.com/shipping,"Shipping costs for non-Prime orders are calculated based on the weight and dimensions of the items in your cart. We use standardized rates for different categories of products, such as books, electronics, and apparel. You can see the final shipping cost on the 'Review Your Order' page before you complete your purchase."
Warranty,Coverage,help.amazon.com/warranty,"Most electronics and appliances sold by Amazon include a standard 1-year manufacturer warranty from the date of purchase. This warranty covers defects in materials and workmanship under normal use conditions. It does not cover accidental damage, misuse, or unauthorized repairs performed by third parties."
Warranty,Claims,help.amazon.com/warranty,"To initiate a warranty claim, you should first contact the manufacturer directly using the information provided in the product documentation. Amazon can provide proof of purchase if the manufacturer requires it for verification. If the item was sold and fulfilled by Amazon, we may assist with a replacement if the manufacturer is unresponsive within 14 days."
Warranty,Extended Protection,help.amazon.com/warranty,"Amazon offers extended protection plans through providers like Asurion for many electronic products. These plans extend the coverage period up to 3 or 4 years and often include protection against accidental drops and spills. You must purchase the protection plan within 30 days of the original product purchase to be eligible."
Warranty,International,help.amazon.com/warranty,"Manufacturer warranties for products purchased in the US may not be valid in other countries. If you move abroad, you should verify with the manufacturer if they provide international warranty support for your specific model. Amazon is not responsible for international shipping costs associated with sending a product back for warranty repair."
Warranty,Exclusions,help.amazon.com/warranty,"Warranty coverage is typically voided if the product's serial number has been removed or altered. Consumable parts such as batteries or light bulbs are usually excluded from standard warranty terms. Software and digital content are also not covered under hardware warranties and are subject to their own licensing agreements."
Account,Security,help.amazon.com/account,"Protect your account by using a strong password that is unique to Amazon and not shared with other websites. We recommend changing your password every 90 days to enhance security and prevent unauthorized access. Never share your login credentials or one-time passcodes with anyone claiming to be an Amazon representative."
Account,Privacy,help.amazon.com/account,"Amazon values your privacy and uses your data to improve your shopping experience and provide personalized recommendations. You can view and manage your privacy settings, including advertising preferences and browsing history, in the 'Privacy Notice' section of your account. We do not sell your personal information to third parties for their own marketing purposes."
Account,Closure,help.amazon.com/account,"If you wish to close your account, you must submit a formal request through our 'Close Your Amazon Account' page. This action is permanent and will result in the loss of access to your order history, digital content, and unused gift card balances. It may take up to 30 days to fully process the closure and delete your data from our active systems."
Account,Information,help.amazon.com/account,"You can update your name, email address, and phone number at any time in the 'Login & Security' section of your account. Ensure your contact information is current to receive important order updates and security notifications. Changes to your primary email address will require verification through a code sent to the new address."
Account,Two-Step Verification,help.amazon.com/account,"Two-Step Verification adds an extra layer of security by requiring a unique code in addition to your password. You can receive this code via text message, voice call, or an authenticator app on your smartphone. We strongly encourage all users to enable this feature to protect against unauthorized login attempts."
Account,Address Book,help.amazon.com/account,"You can store multiple shipping addresses in your Amazon Address Book for faster checkout on future orders. Designate one address as your 'Default Address' to have it automatically selected for most purchases. For your security, you may be asked to re-enter your credit card number when shipping to a new address for the first time."
Account,Ordering History,help.amazon.com/account,"Your complete order history is saved in your account, allowing you to track current shipments and review past purchases. You can search your history by date, item name, or recipient to find specific information. Order history is also useful for printing invoices for tax purposes or initiating returns for older items."
Payments,Methods,help.amazon.com/payments,"Amazon accepts a wide variety of payment methods including major credit cards, debit cards, and Amazon Gift Cards. You can also link your personal checking account for direct payments via ACH in the United States. We do not accept cash, checks, or money orders for any online transactions at this time."
Payments,Issues,help.amazon.com/payments,"If your payment is declined, please verify that the billing address and expiration date match the information on file with your bank. We will attempt to re-authorize the payment several times over a 24-hour period before cancelling the order. Contact your financial institution if you see a pending charge but the order status says 'Payment Pending'."
Payments,Currency,help.amazon.com/payments,"Amazon Currency Converter allows you to pay for eligible orders in your local currency using a supported credit or debit card. The exchange rate includes all fees and charges, so you will know the exact amount you are paying at the time of checkout. Please note that your bank may still charge additional fees for international transactions."
Payments,Authorizations,help.amazon.com/payments,"When you place an order, Amazon contacts the issuing bank to confirm the validity of the payment method and the availability of funds. This is known as an authorization and may appear as a 'pending' charge on your statement for up to 7 days. Your card is not actually charged until the items are shipped from our fulfillment center."
Payments,Installments,help.amazon.com/payments,"Eligible customers can choose to pay for select items in monthly installments with 0% interest. The total cost is divided into equal payments, with the first payment due at the time of shipment and subsequent payments every 30 days. This option is subject to credit approval and is not available for all products or accounts."
Payments,Gift Card Balance,help.amazon.com/payments,"Your Amazon Gift Card balance is automatically applied to your next eligible order unless you choose otherwise at checkout. You can check your current balance at any time by visiting the 'Gift Cards' section of your account. Gift card balances do not expire and can be used for millions of items across the Amazon store."
Payments,Billing Address,help.amazon.com/payments,"The billing address for your order must match the address on file with your credit card issuer to ensure successful authorization. If you have recently moved, please update your billing information in the 'Your Payments' section before placing a new order. Incorrect billing details are the most common cause of delayed or cancelled shipments."
Prime,Benefits,help.amazon.com/prime,"Amazon Prime members receive unlimited free shipping on millions of items, including Two-Day and One-Day delivery options. Membership also includes access to streaming services like Prime Video, Prime Music, and Prime Reading at no additional cost. Members can also enjoy early access to Lightning Deals and exclusive discounts during Prime Day events."
Prime,Membership,help.amazon.com/prime,"Prime membership is available as a monthly or annual subscription, which can be managed in the 'Prime' section of your account. You can set up an automatic renewal or choose to be notified 3 days before your membership is set to renew. If you have not used any Prime benefits since your last charge, you may be eligible for a full refund of the membership fee."
Prime,Sharing,help.amazon.com/prime,"Amazon Household allows you to share certain Prime benefits with one other adult and up to four children in your home. Both adults must agree to share payment methods to take advantage of shared benefits like free shipping and Prime Video. Sharing your Prime benefits does not allow the other adult to view your personal order history or search results."
Prime,Trial,help.amazon.com/prime,"New members are eligible for a 30-day free trial of Amazon Prime to experience all the benefits before committing to a paid plan. You will need a valid credit card to start the trial, but you will not be charged until the trial period ends. You can cancel your trial at any time during the 30 days to avoid being charged the membership fee."
Prime,Student,help.amazon.com/prime,"Prime Student offers a 6-month trial and a discounted membership rate for students currently enrolled in at least one course at a college or university. You must provide a valid .edu email address or other proof of enrollment to verify your eligibility. This plan includes all standard Prime benefits plus exclusive student-only deals and promotions."
Prime,Prime Video,help.amazon.com/prime,"Prime Video offers thousands of movies and TV shows for streaming at no additional cost to Prime members. You can also subscribe to premium channels like HBO or Showtime for an extra monthly fee. Most content can be downloaded for offline viewing on compatible mobile devices using the Prime Video app."
Prime,Prime Gaming,help.amazon.com/prime,"Prime Gaming provides members with free monthly games, exclusive in-game content, and a free monthly subscription to a Twitch channel. To access these benefits, you must link your Amazon account with your Twitch account in the Prime Gaming settings. New free games are added to the library every month for you to keep forever."
Digital Orders,Access,help.amazon.com/digitalorders,"Digital content like Kindle books, Prime Video movies, and downloadable software can be accessed immediately after purchase. You can find your digital library in the 'Content and Devices' section of your Amazon account. Most digital items can be downloaded to multiple registered devices for offline viewing or use."
Digital Orders,Refunds,help.amazon.com/digitalorders,"Kindle books can be returned for a full refund within 7 days of purchase if you have not read a significant portion of the book. Digital videos, music, and software are generally non-refundable once the download or streaming has started. If you made an accidental purchase, contact customer service immediately to see if a one-time exception can be made."
Digital Orders,Usage,help.amazon.com/digitalorders,"Digital content is licensed to you for personal, non-commercial use only and cannot be resold or transferred to another account. The number of devices you can use to access digital content simultaneously may be limited by the content provider. Always ensure your device's software is up to date to maintain compatibility with our digital services."
Digital Orders,Gifting,help.amazon.com/digitalorders,"You can purchase Kindle books as gifts for others by selecting the 'Buy for others' option on the product page. The recipient will receive an email with instructions on how to redeem the gift and add the book to their library. If the recipient already owns the book or prefers something else, they can exchange the gift for an Amazon Gift Card."
Digital Orders,Subscriptions,help.amazon.com/digitalorders,"Digital subscriptions for services like Kindle Unlimited or Amazon Music are billed automatically on a recurring monthly basis. You can manage or cancel your subscriptions at any time in the 'Memberships & Subscriptions' section of your account. Upon cancellation, you will continue to have access to the service until the end of the current billing cycle."
Digital Orders,Appstore,help.amazon.com/digitalorders,"The Amazon Appstore allows you to download games and applications for your Fire tablet or Android device. You can manage your app purchases and update your installed apps through the 'My Apps' section of the Appstore. Some apps offer in-app purchases which can be restricted using parental controls and PIN protection."
Digital Orders,Kindle Unlimited,help.amazon.com/digitalorders,"Kindle Unlimited is a subscription service that provides unlimited access to over 2 million titles and thousands of audiobooks. You can have up to 10 books checked out at any one time and there are no due dates for returning them. This service is billed monthly and is separate from a standard Prime membership."
Damaged Items,Reporting,help.amazon.com/damageditems,"If an item arrives damaged, you should report it through the 'Your Orders' page within 30 days of delivery. Please take clear photos of the damage to both the product and the shipping packaging for our records. We may ask you to return the damaged item before we can process a replacement or a full refund."
Damaged Items,Packaging,help.amazon.com/damageditems,"If the shipping box is visibly damaged upon delivery, you may refuse the package and ask the carrier to return it to Amazon. If you have already accepted the package, please keep all original packaging materials until the issue is resolved. This helps us determine if the damage occurred during transit or was a manufacturing defect."
Damaged Items,Replacements,help.amazon.com/damageditems,"In most cases, we will offer to send a replacement for a damaged item at no additional cost to you. If the item is out of stock, we will issue a full refund to your original payment method instead. Replacements are typically shipped via the same shipping speed as the original order once the damaged item is processed."
Damaged Items,Carrier Claims,help.amazon.com/damageditems,"Amazon works closely with carriers to investigate reports of items damaged during the shipping process. We may initiate a claim on your behalf and may require a brief statement from you regarding the condition of the package. These claims usually take 5-7 business days to resolve, but we will often provide a solution to you sooner."
Missing Items,Packages,help.amazon.com/missingitems,"If your package is marked as delivered but is missing, check around your property and with your neighbors first. Carriers sometimes place packages in hidden spots to protect them from theft or weather. If you still cannot find it after 48 hours, please contact us to report a missing shipment and we will investigate."
Missing Items,Parts,help.amazon.com/missingitems,"If you receive an item that is missing specific parts or accessories, you can request them through the 'Your Orders' page. We will contact the manufacturer to have the missing components shipped directly to you whenever possible. If the parts cannot be sent separately, we will provide a full replacement of the entire product."
Missing Items,Partial Orders,help.amazon.com/missingitems,"Sometimes orders containing multiple items are split into several shipments to get them to you faster. Check your order details to see if some items are still in transit or have been assigned a different tracking number. If all items are marked as delivered in one box but something is missing, please contact support immediately."
Missing Items,Delivery Photo,help.amazon.com/missingitems,"For many deliveries, the carrier will take a photo of the package at your doorstep to confirm delivery. You can view this photo in the 'Track Package' section of your order history to see exactly where it was left. If the photo shows a location that is not your home, please let us know so we can correct the error."
Cancel Order,Process,help.amazon.com/cancelorder,"You can cancel an order as long as it has not yet entered the shipping process, which usually happens within 30-60 minutes of placement. Visit 'Your Orders' and click the 'Cancel Items' button next to the order you wish to stop. If the cancellation is successful, you will receive a confirmation email and will not be charged."
Cancel Order,Shipped Orders,help.amazon.com/cancelorder,"Once an order has been shipped, it can no longer be cancelled through the website. You may be able to refuse the delivery when the carrier arrives, or you can return the item for a refund after it is delivered. Please note that original shipping charges are typically not refunded for orders cancelled after shipment."
Cancel Order,Digital,help.amazon.com/cancelorder,"Digital orders for software or games can be cancelled if the download has not yet been initiated. For digital subscriptions, you can cancel at any time to stop future billing, though you will retain access for the remainder of the current period. Pre-ordered digital content can be cancelled at any time before the official release date."
Cancel Order,Pre-orders,help.amazon.com/cancelorder,"Pre-orders can be cancelled at any time before the item's release date without any penalty. If the price of the item drops between the time you place the order and the release date, you will be charged the lowest price. Once the pre-order enters the shipping process, the standard cancellation policy for shipped orders applies."
Product Authenticity,Guarantee,help.amazon.com/productauthenticity,"Amazon is committed to ensuring that all products sold on our platform are authentic and sourced from authorized distributors. We strictly prohibit the sale of counterfeit products and take aggressive action against sellers who violate this policy. If you receive an item that you believe is not genuine, we will provide a full refund under our guarantee."
Product Authenticity,Reporting,help.amazon.com/productauthenticity,"If you suspect a product is counterfeit, please report it to our customer service team with specific details and photos. We investigate every report and work with brand owners to verify the authenticity of items in our fulfillment centers. Your feedback helps us maintain a trustworthy marketplace for all customers and brands."
Product Authenticity,Transparency,help.amazon.com/productauthenticity,"The Amazon Transparency program allows brands to label individual units with unique codes that customers can scan to verify authenticity. When you receive a Transparency-enabled product, use the Transparency app to view detailed information about the item's origin and manufacturing date. This provides an extra layer of security and peace of mind for high-value purchases."
Product Authenticity,Seller Standards,help.amazon.com/productauthenticity,"Third-party sellers must provide documentation proving the authenticity of their inventory before they are allowed to sell certain brands. We perform regular audits and mystery shopping to ensure that sellers continue to meet our high standards for product quality. Sellers found to be selling inauthentic goods will have their accounts permanently suspended and their funds withheld."
Seller Policies,Third-Party Sellers,help.amazon.com/sellerpolicies,"Third-party sellers are independent businesses that sell their products on the Amazon Marketplace. While many sellers use 'Fulfillment by Amazon' to ship their items, others ship their products directly to customers. You can view a seller's ratings, return policy, and contact information by clicking on their name on the product page."
Seller Policies,A-to-z Guarantee,help.amazon.com/sellerpolicies,"The A-to-z Guarantee protects you when you purchase items sold and fulfilled by a third-party seller. It covers both the timely delivery and the condition of your items, providing a refund if the seller fails to resolve an issue. You can file a claim between 3 and 90 days after the maximum estimated delivery date."
Seller Policies,Seller Feedback,help.amazon.com/sellerpolicies,"You can leave feedback for third-party sellers based on your experience with their shipping speed and customer service. Seller feedback is different from product reviews and should focus on the seller's performance rather than the product itself. Honest feedback helps other customers make informed decisions and encourages sellers to maintain high service levels."
Seller Policies,Marketplace,help.amazon.com/sellerpolicies,"The Amazon Marketplace allows for a wide variety of new, used, and refurbished items to be sold alongside Amazon-owned inventory. We provide tools for sellers to manage their listings and communicate with customers regarding orders and returns. All marketplace transactions are processed through Amazon's secure payment system to ensure your financial safety."
Accessibility,Accommodations,help.amazon.com/accessibility,"Amazon is committed to providing a shopping experience that is accessible to all customers, including those with disabilities. We offer features like high-contrast modes, adjustable text sizes, and screen reader compatibility across our website and mobile apps. If you encounter an accessibility barrier, please reach out to our dedicated accessibility support team."
Accessibility,Assistive Technology,help.amazon.com/accessibility,"Our digital services are designed to work seamlessly with common assistive technologies such as JAWS, NVDA, and VoiceOver. We also provide 'Amazon Tap to Alexa' and other voice-controlled features to help users navigate and purchase items more easily. We continuously update our platforms to adhere to the latest Web Content Accessibility Guidelines (WCAG)."
Accessibility,Contact Options,help.amazon.com/accessibility,"Customers who require assistance can contact us via phone, chat, or email, with specialized support for TTY/TDD users. Our customer service representatives are trained to assist with a variety of accessibility-related questions and can help you navigate the site. We also offer a dedicated accessibility help page with resources and troubleshooting tips for assistive devices."
